"Type","Date","Num","Memo","Name","Qty","Sales Price","Amount","Balance"
"Invoice","10/06/2025","INV25-10777","GASCÓ Instant Hand Sanitizer 70% alcohol 4/1 gal.","Colegio Aguadeño San Francisco de Asis",0,56.00,0.00,0.00
"Total D10078 (GASCÓ Instant Hand Sanitizer 70% alcohol 4/1 gal.)",,,,,0,,0.00,0.00
"D10080 (GASCÓ Toilet Bowl Cleaner Acid 12/32 oz.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10776","GASCÓ Toilet Bowl Cleaner Acid 12/32 oz.","Parador Boquemar, INC.",6,25.99,155.94,155.94
"Total D10080 (GASCÓ Toilet Bowl Cleaner Acid 12/32 oz.)",,,,,6,,155.94,155.94
"D10106 (GASCÓ Drain Opener 4/1 gal.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10776","GASCÓ Drain Opener 4/1 gal.","Parador Boquemar, INC.",1,32.00,32.00,32.00
"Total D10106 (GASCÓ Drain Opener 4/1 gal.)",,,,,1,,32.00,32.00
"D11045 (ECO CLEAN Bath & Tile Cleaner and Disinfectant 12/32 oz.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10776","ECO CLEAN Bath & Tile Cleaner and Disinfectant 12/32 oz.","Parador Boquemar, INC.",6,25.98,155.88,155.88
"Total D11045 (ECO CLEAN Bath & Tile Cleaner and Disinfectant 12/32 oz.)",,,,,6,,155.88,155.88
"D11074 (Dispenser Hand Soap and Sanitizer)",,,,,,,,""
"Invoice","10/06/2025","INV25-10777","Dispenser Hand Soap and Sanitizer(tripita)","Colegio Aguadeño San Francisco de Asis",4,39.57,158.28,158.28
"Total D11074 (Dispenser Hand Soap and Sanitizer)",,,,,4,,158.28,158.28
"D11163 (ECO CLEAN Lavender  All Purpose Cleaner  4/1 gal.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10782","ECO CLEAN Lavender  All Purpose Cleaner  4/1 gal.","Parador Boquemar, INC.",14,14.95,209.30,209.30
"Total D11163 (ECO CLEAN Lavender  All Purpose Cleaner  4/1 gal.)",,,,,14,,209.30,209.30
"D11222 (Hand Soap Lotion 4/1 gal. (NO ETIQUETA))",,,,,,,,""
"Invoice","10/06/2025","INV25-10778","Hand Soap Lotion 4/1 gal. (NO ETIQUETA)","Prime Lab LLC",189,17.58,3322.62,3322.62
"Total D11222 (Hand Soap Lotion 4/1 gal. (NO ETIQUETA))",,,,,189,,3322.62,3322.62
"D11235 (GASCÓ Demineralized Water 55 gals.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10791","GASCÓ Demineralized Water 55 gals.","Maritime Enforcement & Logistics Svcs",5,84.15,420.75,420.75
"Total D11235 (GASCÓ Demineralized Water 55 gals.)",,,,,5,,420.75,420.75
"D12113 (GASCÓ Antibacterial Hand Soap Orange Flora Scent 260 gals.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10787","GASCÓ Antibacterial Hand Soap Orange Flora Scent 260 gals.","PDL COPR.",1,382.90,382.90,382.90
"Total D12113 (GASCÓ Antibacterial Hand Soap Orange Flora Scent 260 gals.)",,,,,1,,382.90,382.90
"D12271 (FUSIÓN Ethyl Alcohol Antiseptic 70% 4/1 gal.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10774","FUSIÓN Ethyl Alcohol Antiseptic 70% 4/1 gal.","Union de Mayoristas Coop",100,30.00,3000.00,3000.00
"Total D12271 (FUSIÓN Ethyl Alcohol Antiseptic 70% 4/1 gal.)",,,,,100,,3000.00,3000.00
"D12357 (GASCÓ Ethyl Alcohol 70% 4/1 gals.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10793","GASCÓ Ethyl Alcohol 70% 4/1 gals.","Orbit Enterprises, Inc.",3,47.00,141.00,141.00
"Total D12357 (GASCÓ Ethyl Alcohol 70% 4/1 gals.)",,,,,3,,141.00,141.00
"D12363 (GASCÓ Isopropyl Alcohol 70% 12/32 oz.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10780","GASCÓ Isopropyl Alcohol 70% 12/32 oz.","Ashford Presbyterian Hospital",20,38.41,768.20,768.20
"Invoice","10/06/2025","INV25-10781","GASCÓ Isopropyl Alcohol 70% 12/32 oz.","Pharma Max",1,34.57,34.57,802.77
"Invoice","10/06/2025","INV25-10783","GASCÓ Isopropyl Alcohol 70% 12/32 oz.","Pharma Max",2,34.57,69.14,871.91
"Invoice","10/07/2025","INV25-10796","GASCÓ Isopropyl Alcohol 70% 12/32 oz.","Pharma Max",1,34.57,34.57,906.48
"Total D12363 (GASCÓ Isopropyl Alcohol 70% 12/32 oz.)",,,,,24,,906.48,906.48
"D12701 (GASCÓ 160 Lemon Multipurpose Detergent & Disinfectant 4/1 gal.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10777","GASCÓ 160 Lemon Multipurpose Detergent & Disinfectant 4/1 gal.","Colegio Aguadeño San Francisco de Asis",40,28.47,1138.80,1138.80
"Invoice","10/07/2025","INV25-10798","GASCÓ 160 Lemon Multipurpose Detergent & Disinfectant 4/1 gal.","Méndez & Company",0,20.83,0.00,1138.80
"Total D12701 (GASCÓ 160 Lemon Multipurpose Detergent & Disinfectant 4/1 gal.)",,,,,40,,1138.80,1138.80
"D13002 (GASCÓ FoamyChlor 5 gals.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10797","GASCÓ FoamyChlor 5 gals.","Méndez & Company",20,39.07,781.40,781.40
"Total D13002 (GASCÓ FoamyChlor 5 gals.)",,,,,20,,781.40,781.40
"D13041 (GASCÓ Alcohol Isopropílico 70% 4/1 gal.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10775","GASCÓ Alcohol Isopropílico 70% 4/1 gal.","Pharma Max",12,30.16,361.92,361.92
"Invoice","10/06/2025","INV25-10777","GASCÓ Alcohol Isopropílico 70% 4/1 gal.","Colegio Aguadeño San Francisco de Asis",40,32.43,1297.20,1659.12
"Invoice","10/06/2025","INV25-10779","GASCÓ Alcohol Isopropílico 70% 4/1 gal.","Pharma Max",12,30.16,361.92,2021.04
"Invoice","10/06/2025","INV25-10781","GASCÓ Alcohol Isopropílico 70% 4/1 gal.","Pharma Max",9,30.16,271.44,2292.48
"Invoice","10/06/2025","INV25-10783","GASCÓ Alcohol Isopropílico 70% 4/1 gal.","Pharma Max",7,30.16,211.12,2503.60
"Invoice","10/07/2025","INV25-10796","GASCÓ Alcohol Isopropílico 70% 4/1 gal.","Pharma Max",7,30.16,211.12,2714.72
"Total D13041 (GASCÓ Alcohol Isopropílico 70% 4/1 gal.)",,,,,87,,2714.72,2714.72
"D13044 (GASCÓ Alcohol Isopropílico 70% 24/16 oz.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10781","GASCÓ Alcohol Isopropílico 70% 24/16 oz.","Pharma Max",1,34.57,34.57,34.57
"Invoice","10/06/2025","INV25-10783","GASCÓ Alcohol Isopropílico 70% 24/16 oz.","Pharma Max",3,34.57,103.71,138.28
"Invoice","10/07/2025","INV25-10796","GASCÓ Alcohol Isopropílico 70% 24/16 oz.","Pharma Max",2,34.57,69.14,207.42
"Total D13044 (GASCÓ Alcohol Isopropílico 70% 24/16 oz.)",,,,,6,,207.42,207.42
"D13048 (GASCÓ Isopropyl Alcohol 99% 4/1 gal.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10794","GASCÓ Isopropyl Alcohol 99% 4/1 gal.","Bayamon Hospital Supply, Corp.",15,72.27,1084.05,1084.05
"Total D13048 (GASCÓ Isopropyl Alcohol 99% 4/1 gal.)",,,,,15,,1084.05,1084.05
"D13056 (GASCÓ Alcohol Isopropílico 91% 24/16 oz.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10781","GASCÓ Alcohol Isopropílico 91% 24/16 oz.","Pharma Max",1,45.98,45.98,45.98
"Invoice","10/06/2025","INV25-10783","GASCÓ Alcohol Isopropílico 91% 24/16 oz.","Pharma Max",2,45.98,91.96,137.94
"Invoice","10/07/2025","INV25-10796","GASCÓ Alcohol Isopropílico 91% 24/16 oz.","Pharma Max",2,45.98,91.96,229.90
"Total D13056 (GASCÓ Alcohol Isopropílico 91% 24/16 oz.)",,,,,5,,229.90,229.90
"D18015 (DOT Mold Deep Stain and Extra Strength Cleaner 1 gal.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10792","DOT Mold Deep Stain and Extra Strength Cleaner 1 gal.","Sudoc, LLC",500,3.60,1800.00,1800.00
"Invoice","10/07/2025","INV25-10792","DOT Mold Deep Stain and Extra Strength Cleaner 1 gal.","Sudoc, LLC",500,3.60,1800.00,3600.00
"Invoice","10/07/2025","INV25-10792","DOT Mold Deep Stain and Extra Strength Cleaner 1 gal.","Sudoc, LLC",500,3.60,1800.00,5400.00
"Invoice","10/07/2025","INV25-10792","DOT Mold Deep Stain and Extra Strength Cleaner 1 gal.","Sudoc, LLC",500,3.60,1800.00,7200.00
"Invoice","10/07/2025","INV25-10792","DOT Mold Deep Stain and Extra Strength Cleaner 1 gal.","Sudoc, LLC",400,3.60,1440.00,8640.00
"Invoice","10/07/2025","INV25-10792","DOT Mold Deep Stain and Extra Strength Cleaner 1 gal.","Sudoc, LLC",500,3.60,1800.00,10440.00
"Total D18015 (DOT Mold Deep Stain and Extra Strength Cleaner 1 gal.)",,,,,2900,,10440.00,10440.00
"D18017 (DOT Mold Deep Stain and Extra Strength Cleaner 32 oz.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10792","DOT Mold Deep Stain and Extra Strength Cleaner 32 oz.","Sudoc, LLC",300,0.98,294.00,294.00
"Invoice","10/07/2025","INV25-10792","DOT Mold Deep Stain and Extra Strength Cleaner 32 oz.","Sudoc, LLC",700,0.98,686.00,980.00
"Invoice","10/07/2025","INV25-10792","DOT Mold Deep Stain and Extra Strength Cleaner 32 oz.","Sudoc, LLC",700,0.98,686.00,1666.00
"Invoice","10/07/2025","INV25-10792","DOT Mold Deep Stain and Extra Strength Cleaner 32 oz.","Sudoc, LLC",600,0.98,588.00,2254.00
"Total D18017 (DOT Mold Deep Stain and Extra Strength Cleaner 32 oz.)",,,,,2300,,2254.00,2254.00
"D18023 (DOT Fabric and Carpet Rescue 32 oz.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10792","DOT Fabric and Carpet Rescue 32 oz.","Sudoc, LLC",100,1.17,117.00,117.00
"Total D18023 (DOT Fabric and Carpet Rescue 32 oz.)",,,,,100,,117.00,117.00
"D20091CE (GASCÓ LORE Pot and Pan Dishwash 4/1 gal.)",,,,,,,,""
"Invoice","10/08/2025","INV25-10800","Lore Pot and Pan Dishwash 4/1 gal","Distrito de Cabo Rojo",19,31.82,604.58,604.58
"Invoice","10/08/2025","INV25-10801","Lore Pot and Pan Dishwash 4/1 gal","Distrito de Maricao",17,31.82,540.94,1145.52
"Total D20091CE (GASCÓ LORE Pot and Pan Dishwash 4/1 gal.)",,,,,36,,1145.52,1145.52
"D20092CE (Quaternary Ammonia Sanitizer 10% 4/1 gal.)",,,,,,,,""
"Invoice","10/08/2025","INV25-10800","Quaternary Ammonia Sanitizer 10% 4/1 gal.","Distrito de Cabo Rojo",19,46.38,881.22,881.22
"Invoice","10/08/2025","INV25-10801","Quaternary Ammonia Sanitizer 10% 4/1 gal.","Distrito de Maricao",10,46.38,463.80,1345.02
"Total D20092CE (Quaternary Ammonia Sanitizer 10% 4/1 gal.)",,,,,29,,1345.02,1345.02
"D20093CE (Multipurpose Cleaner 12/32 oz.)",,,,,,,,""
"Invoice","10/08/2025","INV25-10800","Multipurpose Cleaner 12/32 oz.","Distrito de Cabo Rojo",11,27.13,298.43,298.43
"Invoice","10/08/2025","INV25-10801","Multipurpose Cleaner 12/32 oz.","Distrito de Maricao",7,27.13,189.91,488.34
"Total D20093CE (Multipurpose Cleaner 12/32 oz.)",,,,,18,,488.34,488.34
"D20097CE (Hand Soap Antibacterial 4/1 gal.)",,,,,,,,""
"Invoice","10/08/2025","INV25-10800","Hand Soap Antibacterial 4/1 gal.","Distrito de Cabo Rojo",10,25.03,250.30,250.30
"Invoice","10/08/2025","INV25-10801","Hand Soap Antibacterial 4/1 gal.","Distrito de Maricao",1,25.03,25.03,275.33
"Total D20097CE (Hand Soap Antibacterial 4/1 gal.)",,,,,11,,275.33,275.33
"D60000 (SPARKKLE Heavy Duty Degreaser 4/1 gal.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10798","SPARKKLE Heavy Duty Degreaser 4/1 gal.","Méndez & Company",0,24.15,0.00,0.00
"Total D60000 (SPARKKLE Heavy Duty Degreaser 4/1 gal.)",,,,,0,,0.00,0.00
"D60001 (SPARKKLE Oven an Grill Cleaner 12/32 oz.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10798","SPARKKLE Oven an Grill Cleaner 12/32 oz.","Méndez & Company",0,22.57,0.00,0.00
"Total D60001 (SPARKKLE Oven an Grill Cleaner 12/32 oz.)",,,,,0,,0.00,0.00
"D60002 (SPARKKLE Ready to Use Disinfectant and Detergent 12/32 oz.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10798","SPARKKLE Ready to Use Disinfectant and Detergent 12/32 oz.","Méndez & Company",0,27.39,0.00,0.00
"Total D60002 (SPARKKLE Ready to Use Disinfectant and Detergent 12/32 oz.)",,,,,0,,0.00,0.00
"D60005 (SPARKKLE Premium Dishwashing Detergent 4/1 gal.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10798","SPARKKLE Premium Dishwashing Detergent 4/1 gal.","Méndez & Company",0,25.61,0.00,0.00
"Total D60005 (SPARKKLE Premium Dishwashing Detergent 4/1 gal.)",,,,,0,,0.00,0.00
"D60013 (SPARKKLE Lavender Multipurpose Cleaner 4/1 gal.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10798","SPARKKLE Lavender Multipurpose Cleaner 4/1 gal.","Méndez & Company",48,14.98,719.04,719.04
"Total D60013 (SPARKKLE Lavender Multipurpose Cleaner 4/1 gal.)",,,,,48,,719.04,719.04
"D60014 (SPARKKLE Lemon Multipurpose Cleaner 4/1 gal.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10798","SPARKKLE Lemon Multipurpose Cleaner 4/1 gal.","Méndez & Company",0,14.98,0.00,0.00
"Total D60014 (SPARKKLE Lemon Multipurpose Cleaner 4/1 gal.)",,,,,0,,0.00,0.00
"D60015 (SPARKKLE Cherry Multipurpose Cleaner 4/1 gal.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10798","SPARKKLE Cherry Multipurpose Cleaner 4/1 gal.","Méndez & Company",0,14.98,0.00,0.00
"Total D60015 (SPARKKLE Cherry Multipurpose Cleaner 4/1 gal.)",,,,,0,,0.00,0.00
"D60016 (SPARKKLE Green Apple Multipurpose Cleaner 4/1 gal.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10798","SPARKKLE Green Apple Multipurpose Cleaner 4/1 gal.","Méndez & Company",0,14.98,0.00,0.00
"Total D60016 (SPARKKLE Green Apple Multipurpose Cleaner 4/1 gal.)",,,,,0,,0.00,0.00
"DMM-Mercancía Miscelánea (Mercancía Miscelanea)",,,,,,,,""
"Invoice","10/06/2025","OUT-14907","SEKO DOSING PROSINK 2GAP","Ralph Smith Rep",3,0.00,0.00,0.00
"Invoice","10/06/2025","OUT-14907","BOTELLAS VACIAS 32 OZ CON ROCIADORES","Ralph Smith Rep",12,0.00,0.00,0.00
"Invoice","10/06/2025","OUT-14908","PAILAS DE 5 GALS CON SUS TAPAS","Ralph Smith Rep",3,0.00,0.00,0.00
"Total DMM-Mercancía Miscelánea (Mercancía Miscelanea)",,,,,18,,0.00,0.00
"Total Parts",,,,,6195,,37018.06,37018.06
"Service",,,,,,,,""
"SERV-SUDOC.",,,,,,,,""
"Invoice","10/07/2025","INV25-10789","SHIPPING CHARGES SEPT 25  7 SHIPMENTS","Sudoc, LLC",1,165.35,165.35,165.35
"Invoice","10/07/2025","INV25-10789","MAGIC TRANSPORT 1952831 $620.70","Sudoc, LLC",1,620.70,620.70,786.05
"Invoice","10/07/2025","INV25-10790","PROFESSIONAL SERVICES MR. DAN BIGMAN","Sudoc, LLC",40,50.00,2000.00,2786.05
"Invoice","10/07/2025","INV25-10790","PROFESSIONAL SERVICES MRS ANDREA  SEPT. 2025","Sudoc, LLC",160,33.60,5376.00,8162.05
"Invoice","10/07/2025","INV25-10790","ANDREA'S ONBOARDING COSTS SEPT. 2025","Sudoc, LLC",1,500.00,500.00,8662.05
"Invoice","10/07/2025","INV25-10790","ANDREA'S HEALTH INSURANCE  SEPT. 2025","Sudoc, LLC",1,317.00,317.00,8979.05
"Invoice","10/07/2025","INV25-10790","ENTERED 10/7","Sudoc, LLC",1,"","",8979.05
"Total SERV-SUDOC.",,,,,205,,8979.05,8979.05
"Total Service",,,,,205,,8979.05,8979.05
"Other Charges",,,,,,,,""
"Credit Card Charge",,,,,,,,""
"Invoice","10/07/2025","INV25-10788","CREDIT CARD FEE 3%","Fort Buchanan/ Community Club",1,22.20,22.20,22.20
"Total Credit Card Charge",,,,,1,,22.20,22.20
"Total Other Charges",,,,,1,,22.20,22.20
"TOTAL",,,,,6401,,46019.31,46019.31
